Block Size,My Allocator,System Allocator
16,0.071573,0.028109
32,0.064117,0.019562
64,0.070604,0.016118
128,0.070905,0.016209
256,0.079161,0.014747
512,0.078589,0.013873
1024,0.083480,0.017302
2048,0.086727,0.039140
4096,0.088786,0.036831
